name,class,A,beta,gamma,t_0,tau_rise,tau_fall,extra_sigma,A_green,beta_green,gamma_green,t_0_green,tau_rise_green,tau_fall_green,extra_sigma_green
ZTF20acusylb,SN IIn,89.69685046584057,0.008296999509424642,57.72093418352216,59181.82576978237,17.671403686472402,175.3595962840107,0.942429346508071,1.2824393017051268,1.0259541106095371,1.407683612861253,1.0002997685201986,1.1475339395209363,0.7544365010786076,0.8273921640069369
ZTF20acveyyv,SN IIn,66.29794466781811,0.005895904877539154,6.441375215968948,59183.64621542052,30.380316804174008,53.05977653744985,0.16945651502107015,1.0278423557647063,1.0394638307289954,0.9834358192580269,1.000497751253883,0.9528305409249729,0.5226633975360713,0.8436117904512137
ZTF20acvezdt,SN II,48.84273907694866,0.006906731941021983,75.71456870666654,59208.28300060837,15.45225779232607,44.20577373211283,0.2642745435640203,1.0275486511335714,1.034495764116127,0.30173034863442055,0.99987355511281,0.953646499896736,0.5209358141151657,0.8416180574091175
ZTF20acvjlev,SN II,66.48917602446139,0.008722359377441818,104.99816334448863,59209.404246530874,47.52117136991309,57.64696712308459,0.2673113527454581,1.0293601923351012,1.026529097366118,0.7143094209837997,1.0009870813195705,0.9361932366970251,0.5227478157375436,0.8550819826599785
ZTF20acvziuf,SN Ia,309.6621479552018,0.003466109894023266,11.617048227203327,59198.202764851245,2.364668915321104,16.94362180069449,5.604328612811225,1.019763259717413,1.0399940996286188,0.18206554075036813,0.9999962825194173,0.936773659617395,0.5255805593033145,2.4793105769895547
ZTF20acwgxhk,SN II,90.16151174737112,0.0074713999756476366,74.8745945447019,59194.84201325016,1.4437982557964504,38.98072865610834,3.679774469920429,1.052796343582545,1.1037527272080965,0.47503110638220347,1.0003894641954107,1.028882735845461,0.525361206541507,2.4900212481372592
ZTF20acwmyzx,SLSN-I,15.576999269606263,0.004059793912077918,60.28636726647936,59212.29981954007,21.68115732473292,116.35886978746215,0.13043258448345374,1.0261626843858296,1.0349071431856793,0.6744855602647917,1.0000783515722276,0.9579612828760586,0.5195109787446792,0.844856318632473
ZTF20acyqzeu,SN II,96.53351719504624,0.007096417215099257,106.32279384713956,59204.56707079521,3.638500307534648,27.772468090885766,4.186939435903154,1.0530841210019655,1.1740568985776316,0.15611073370147496,1.0000438715567188,1.1973819416107903,0.46375889553019,1.3688433727026021
ZTF20acyrhbo,SN Ia,147.9546149113543,0.004998586522126529,7.608034209312276,59211.67188729823,3.0493097148293,25.57252928339916,3.785327593577022,1.0232935885738645,1.035797701708553,1.0530405838465988,1.000015804810392,0.9526869249342569,0.5189245132636375,2.421422277977255
ZTF20acyroke,SN Ia,698.2262850285729,0.004805364985277718,8.619600782166613,58388.978624252486,25.808638274915893,201.9763504990926,1.9068981531018037,1.0415673130370275,1.0136234142066454,0.9899038788768498,0.9999985196534333,0.9664937033747771,0.5188465153321764,0.7538211647368505
ZTF20adadlqv,SN II,24.44811518403245,0.001676273248539401,113.26618957479428,59172.56571957694,36.77292646899127,111.43378023305104,0.3052807469182318,1.0788486305752034,1.0696909548381963,0.17288733434235004,1.000319018882917,0.9536371072869072,0.5199025937236589,0.94437258523441
ZTF20adaduxg,SN II,47.60607615969244,0.006189691559466008,81.5252667306568,59124.00630455933,35.60199779707192,258.01882086763675,0.18428206864406887,1.022567314147435,1.031492585299901,1.5821411117860746,1.0000353537776057,0.9473209697601662,0.5180006376786952,0.8367071106859599
ZTF20adagenq,SN Ia,275.3490568891781,0.007304075468384623,7.354991779835704,59215.88666262837,3.56511749204044,27.22608240456999,5.60463950876688,1.0497289495112518,1.0983610431128867,1.4013533184693614,1.0000425129741517,0.9584315667494062,0.5256336298747946,2.740127416233805
ZTF21aaabaey,SN Ia,38.5107459807972,0.004740546279670983,20.308758258885717,59218.36105753969,3.5996952102807045,20.729175655353217,1.4743908995888824,1.0265772325561593,1.033546144291139,0.5768795780450229,1.0000206654386847,0.9409962290969563,0.5255095108124466,1.8309810978975198
ZTF21aaabvit,SN Ia,42613.871038963334,0.008256547260630652,0.47996784929466596,58133.35758629284,0.2828457032860211,48.27227502800325,95.14823401953667,0.9443111306712595,0.1842033425767686,1.4254280558316548,0.9788936659834566,1.7497237375931836,0.5683525194278819,6.031725275320785
ZTF21aaabvjk,SN Ia,607.5310250864515,0.004968829062881505,10.764038442915881,59215.42475009075,3.3055887788091427,30.810092277343166,13.644895363598199,1.0253615917377021,1.0366054575207495,1.015123347361106,0.9971651511515922,0.9624683742433295,0.5199797354395428,6.356559226748122
ZTF21aaabxbd,SN IIn,51.3174746507154,0.0019100758708446846,60.53073185667735,59217.20108645964,9.509587500067884,60.30073922102434,0.22811255588087545,1.025270635857714,1.034247317909615,0.019836397749162585,0.9999040279715674,0.949274063917549,0.5203457067411617,0.8088919349031014
ZTF21aaampui,SN Ia,1898.7787704560797,0.00861578622445366,83.31636750112625,59138.50544478126,28.604900983909157,20.241997574183276,3.898441750811792,0.9917075663135286,1.2192032557888797,1.2477387868275427,1.0000361298704852,0.7791438758983886,0.5102705458720725,1.7168421994869876
ZTF21aabjesm,SN II,30.760633997710322,0.005733054611844108,82.85817446563318,59220.88700018198,3.609785623748558,74.43353535486656,0.922931783041237,1.0263431429375918,1.037310579183027,1.0613836588854861,1.0010205947138835,0.9561443003743333,0.5230375101352527,1.6098432930924236
ZTF21aabygea,SN II,108.36569901964602,0.009363234703908287,95.35541040458175,59256.07818054198,44.6530293861341,54.06748351174289,2.6505628189454713,1.0258377301281651,1.0287043285066635,0.7229510617883999,1.0010530972047365,0.9482821317423643,0.5218859559939817,0.9822491422791164
ZTF21aadkhte,SN II,75.35277091817437,0.009394458481657006,52.08306756526734,59180.85926096953,44.67565115817665,280.7481359703558,5.449782297426795,1.03309540108298,1.0375050983661822,1.457013046560486,0.9999503937090308,0.9531824770199484,0.5197291823054346,0.5680943326881602
ZTF21aadoizf,SN II,87.77133821333928,0.009244870684526589,81.46575856731187,59306.435510819254,48.62091948018865,251.92638462204,1.781968124613781,1.0254034533104268,1.0346003620645239,1.1300210815872713,1.0026001209136646,0.9542261310472122,0.5198930502563393,0.43202382007616913
